Id,Composer,Piece,#Bars,#Notes,#Fingering,Fingering 1,2,3,4,5,6,7,8
001,Bach,Two-part invention in C major,22,469,4,YI,ES,,,HI,,,NH
002,Bach,Two-part invention in F major,34,596,4,YI,ES,,,HI,,,NH
003,Bach,"Well-Tempered Clavier, Book I, Prelude No. 23 in B major",19,417,4,YI,ES,,,HI,,,NH
004,Bach,"Well-Tempered Clavier, Book II, Fugue No. 2 in C minor",14,282,4,YI,ES,,,HI,,,NH
005,Bach,"Well-Tempered Clavier, Book II, Fugue No. 19 in A major",14,313,4,YI,ES,,,HI,,,NH
006,Bach,Partita No. 6 Corrente,38,348,4,YI,ES,,,HI,,,NH
007,Bach,French Suite No. 1 Allemande,12,281,4,YI,ES,,,HI,,,NH
008,Bach,French Suite No. 5 Sarabande,16,171,4,YI,ES,,,HI,,,NH
009,Bach,English Suite No. 3 Prelude,33,393,4,YI,ES,,,HI,,,NH
010,Bach,"Goldberg Variations, Variation 13",16,387,4,YI,ES,,,HI,,,NH
011,Mozart,"Piano Sonata K 283 in G major, 1st mov.",22,272,6,ES,,HI,HK,YI,YS,EF,
012,Mozart,"Piano Sonata K 310 in A minor, 1st mov.",16,440,6,ES,,HI,HK,YI,YS,EF,
013,Mozart,"Piano Sonata K 330 in C major, 1st mov.",18,286,6,ES,,HI,HK,YI,YS,EF,
014,Mozart,"Piano Sonata K 330 in C major, 2nd mov.",19,289,6,ES,,HI,HK,YI,YS,EF,
015,Mozart,"Piano Sonata K 331 in A major, 3rd mov.",26,269,6,ES,,HI,HK,YI,YS,EF,
016,Mozart,"Piano Sonata K 332 in F major, 1st mov.",22,181,6,ES,,HI,HK,YI,YS,EF,
017,Mozart,"Piano Sonata K 545 in C major, 1st mov.",12,193,6,ES,,HI,HK,YI,YS,EF,
018,Mozart,"Piano Sonata K 570 in Bb major, 1st mov.",22,150,6,ES,,HI,HK,YI,YS,EF,
019,Mozart,"Piano Sonata K 570 in Bb major, 2nd mov.",12,213,6,ES,,HI,HK,YI,YS,EF,
020,Mozart,"Piano Sonata K 576 in D major, 2nd mov.",16,253,6,ES,,HI,HK,YI,YS,EF,
021,Chopin,Ballade No. 2,20,312,5,HI,,EF,YoI,EN,ES,,
022,Chopin,Etude Op. 10 No. 3,21,455,5,HI,,EF,YoI,EN,ES,,
023,Chopin,Nocturne Op.9 No. 2,13,430,5,HI,,EF,YoI,EN,ES,,
024,Chopin,Mazurka Op.7 No. 1,24,278,5,HI,,EF,YoI,EN,ES,,
025,Chopin,Waltz Op. 64 No. 1,36,393,5,HI,,EF,YoI,EN,ES,,
026,Chopin,Polonaise Op. 40 No. 1,15,591,5,HI,,EF,YoI,EN,ES,,
027,Chopin,Grande Valse Brillante Op. 18,32,380,5,HI,,EF,YoI,EN,ES,,
028,Chopin,Prelude Op. 28 No. 17,18,458,5,HI,,EF,YoI,EN,ES,,
029,Chopin,Scherzo No. 3,49,377,5,HI,,EF,YoI,EN,ES,,
030,Chopin,"Piano Sonata No. 3, 1st mov.",16,348,5,HI,,EF,YoI,EN,ES,,
031,Chopin,Etude Op. 10 No. 12,84,2082,1,TH,,,,,,,
032,Bach,Two-part invention in C minor,27,691,2,,EN,YoI,,,,,
033,Bach,Two-part invention in D major,60,525,1,EN,,,,,,,
034,Beethoven,"Piano Sonata No. 8, 1st mov.",132,2059,1,,,,YI,,,,
035,Debussy,Arabesque No. 1,16,218,1,EN,,,,,,,
036,Debussy,Arabesque No. 2,19,323,1,YoI,,,,,,,
037,Debussy,Clair de Lune,8,79,1,YoI,,,,,,,
038,Debussy,La Fille aux Cheveux de Lin,10,114,1,YoI,,,,,,,
039,Ravel,Pavane pour une Infante Defunte,12,187,1,YoI,,,,,,,
040,Schumann,Kreisleriana Op. 16 No. 8,24,289,1,YoI,,,,,,,
041,Bach,Sinfonia No. 12,14,334,1,AiY,,,,,,,
042,Bach,"Well-Tempered Clavier, Book I, Prelude No. 2 in C minor",18,576,1,AiY,,,,,,,
043,Bach,"Well-Tempered Clavier, Book I, Prelude No. 7 in Eb major",16,174,2,YoI,AiY,,,,,,
044,Bach,"Well-Tempered Clavier, Book II, Prelude No. 11 in F major",16,251,1,EN,,,,,,,
045,Bach,"Italian Converto, 1st mov.",30,331,2,YS,AiY,,,,,,
046,Bach,French Suite No. 3 Minuet,16,145,2,YS,AiY,,,,,,
047,Bach,French Suite No. 5 Gavotte,24,327,2,YS,AiY,,,,,,
048,Bach,English Suite No. 2 Prelude,18,322,2,YS,AiY,,,,,,
049,Bach,Partita No. 2-6,21,253,2,YS,EF,,,,,,
050,Bach,Partita No. 4-2,10,208,2,YS,AiY,,,,,,
051,Mozart,"Piano Sonata K 279 in C major, 1st mov.",14,276,1,YS,,,,,,,
052,Mozart,"Piano Sonata K 280 in F major, 2nd mov.",10,152,1,YS,,,,,,,
053,Mozart,"Piano Sonata K 281 in Bb major, 1st mov.",14,245,1,YS,,,,,,,
054,Mozart,"Piano Sonata K 282 in Eb major, Minuet 1",31,272,1,YS,,,,,,,
055,Mozart,"Piano Sonata K 284 in D major, 1st mov.",21,435,1,YS,,,,,,,
056,Mozart,"Piano Sonata K 284 in D major, 3rd mov.",17,216,1,YS,,,,,,,
057,Mozart,"Piano Sonata K 332 in F major, 3rd mov.",31,393,1,YS,,,,,,,
058,Mozart,"Piano Sonata K 457 in C minor, 3rd mov.",29,190,1,YS,,,,,,,
059,Mozart,Fantasie K 475,11,368,1,YS,,,,,,,
060,Mozart,"Piano Sonata K 576 in D minor, 1st mov.",20,282,1,YS,,,,,,,
061,Beethoven,For Elise,24,208,2,HI,YI,,,,,,
062,Beethoven,Minuet in G major WoO 10-2,16,171,2,HI,YI,,,,,,
063,Beethoven,"Piano Sonata No. 8, 2nd mov.",16,265,2,HI,YI,,,,,,
064,Beethoven,"Piano Sonata No. 8, 3rd mov.",28,232,2,HI,YI,,,,,,
065,Beethoven,"Piano Sonata No. 14, 1st mov.",14,239,2,HI,YI,,,,,,
066,Beethoven,"Piano Sonata No. 14, 2nd mov.",36,268,2,HI,YI,,,,,,
067,Beethoven,"Piano Sonata No. 14, 3rd mov.",21,572,2,HI,YI,,,,,,
068,Beethoven,"Piano Sonata No. 21, 1st mov.",18,492,2,HI,YI,,,,,,
069,Beethoven,"Piano Sonata No. 21, 3rd mov.",24,414,2,HI,YI,,,,,,
070,Beethoven,"Piano Sonata No. 23, 2nd mov.",16,200,2,HI,YI,,,,,,
071,Chopin,Ballade No. 1,16,247,2,HI,YS,,,,,,
072,Chopin,Scherzo No. 2,24,189,1,HI,,,,,,,
073,Chopin,Berceuse,14,212,1,EF,,,,,,,
074,Chopin,Fantaisie Impromptu,20,555,2,HI,EF,,,,,,
075,Chopin,Waltz Op. 64 No. 2,19,180,1,HI,,,,,,,
076,Chopin,Waltz Op. 69 No. 1,16,155,2,HI,EF,,,,,,
077,Chopin,Waltz Op. 69 No. 2,31,341,2,HI,EF,,,,,,
078,Chopin,Etude Op. 25 No. 11,8,261,1,HI,,,,,,,
079,Chopin,Prelude Op. 28 No. 7,17,168,2,HI,EF,,,,,,
080,Chopin,Prelude Op. 28 No. 19,32,573,1,EF,,,,,,,
081,Schumann,Kinderszenen Op. 15 No.1,22,222,1,AiY,,,,,,,
082,Schumann,Frohlicher Landmann Op. 68 No. 10,15,244,1,HI,,,,,,,
083,Schumann,Kreisleriana Op. 16 No. 1,15,284,1,EF,,,,,,,
084,Schumann,Kreisleriana Op. 16 No. 3,32,352,1,EF,,,,,,,
085,Schumann,Fantasie Stucke Op. 12 No. 7,38,510,1,AiY,,,,,,,
086,Debussy,Suite Bergamasque Prelude,12,227,1,HI,,,,,,,
087,Debussy,Suite Bergamasque Passpied,19,214,1,HI,,,,,,,
088,Debussy,Prelude Book 1 No. 2,22,212,1,HK,,,,,,,
089,Debussy,Reverie,18,182,1,HI,,,,,,,
090,Debussy,Golliwogg's Cakewalk,25,295,1,HK,,,,,,,
091,Grieg,Lyric Pieces Op. 12 No. 1,12,138,1,YI,,,,,,,
092,Grieg,Lyric Pieces Op. 38 No. 1,16,170,1,YI,,,,,,,
093,Grieg,Lyric Pieces Op. 43 No. 1,16,327,1,YI,,,,,,,
094,Grieg,Lyric Pieces Op. 54 No. 3,29,335,1,YI,,,,,,,
095,Grieg,Lyric Pieces Op. 62 No. 2,12,134,1,YI,,,,,,,
096,Grieg,Lyric Pieces Op. 62 No. 4,28,608,1,YI,,,,,,,
097,Grieg,Norwegian Dance Op. 35 No. 3,32,483,1,YI,,,,,,,
098,Grieg,Peer Gynt Op. 46 No. 2,16,240,1,YI,,,,,,,
099,Grieg,Holborg Suite Op. 40 No. 5,29,374,1,YI,,,,,,,
100,Grieg,"Piano Sonata, 1st mov.",36,507,1,YI,,,,,,,
101,Mussorgsky,Pictures at an Exhibition Promenade,12,253,1,YS,,,,,,,
102,Mussorgsky,Pictures at an Exhibition Bydlo,20,289,1,HI,,,,,,,
103,Mussorgsky,Pictures at an Exhibition Great Kiev,18,302,1,EF,,,,,,,
104,Liszt,Liebestraum No. 3,11,257,1,EN,,,,,,,
105,Liszt,Hungarian Rhapsody No. 2,18,231,1,EF,,,,,,,
106,Liszt,La Campanella,20,409,1,HI,,,,,,,
107,Rachmaninoff,Musical Moment Op. 16 No. 4,9,290,1,HI,,,,,,,
108,Rachmaninoff,Prelude Op. 3 No. 2,8,297,1,EF,,,,,,,
109,Rachmaninoff,Prelude Op. 23 No. 5,9,341,1,EF,,,,,,,
110,Rachmaninoff,Prelude Op. 23 No. 9,11,453,1,EF,,,,,,,
111,Schubert,Impromptu Op. 90 No. 3,8,231,1,EF,,,,,,,
112,Schubert,Impromptu Op. 90 No. 4,20,267,1,HI,,,,,,,
113,Schubert,Wanderer Fantasy,28,705,2,YoI,EF,,,,,,
114,Schubert,"Piano Sonata D 845, 3rd mov.",27,253,1,HI,,,,,,,
115,Brahms,Waltz Op. 39 No. 15,22,262,2,YoI,EF,,,,,,
116,Brahms,Intermezzo Op. 118 No. 2,17,223,1,EF,,,,,,,
117,Brahms,Rhapsodie Op. 79 No. 2,12,293,1,EF,,,,,,,
118,Joplin,The Entertainer,20,345,1,HK,,,,,,,
119,Joplin,Maple Leaf Rag,17,275,1,EF,,,,,,,
120,Joplin,Scott Joplin's New Rag,19,319,1,HI,,,,,,,
121,Beethoven,"Piano Sonata No. 4, 1st mov.",32,317,2,HK,YI,,,,,,
122,Beethoven,"Piano Sonata No. 5, 1st mov.",32,175,2,HK,YI,,,,,,
123,Beethoven,"Piano Sonata No. 3, 2nd mov.",8,154,2,HK,YI,,,,,,
124,Beethoven,"Piano Sonata No. 24, 1st mov.",11,206,2,HK,YI,,,,,,
125,Beethoven,"Piano Sonata No. 24, 2nd mov.",22,215,2,HK,YI,,,,,,
126,Beethoven,"Piano Sonata No. 28, 1st mov.",10,140,2,HK,YI,,,,,,
127,Beethoven,"Piano Sonata No. 28, 2nd mov.",11,217,2,HK,YI,,,,,,
128,Beethoven,"Piano Sonata No. 30, 1st mov.",28,321,2,HK,YI,,,,,,
129,Beethoven,"Piano Sonata No. 30, 3rd mov.",32,414,2,HK,YI,,,,,,
130,Beethoven,"Piano Sonata No. 4, 3rd mov.",22,172,2,HK,YI,,,,,,
131,Dvorak,Humoreske Op. 101 No. 7,16,284,2,YoI,EF,,,,,,
132,Mendelssohn,La Chasse Op. 19 No. 3,28,588,2,YoI,EF,,,,,,
133,Mendelssohn,Venetianisches Gondellied Op. 30 No. 6,21,225,1,YS,,,,,,,
134,Mendelssohn,Song without Words Op. 19 No. 1,15,324,1,YS,,,,,,,
135,Faure,Sicilienne,17,230,1,YoI,,,,,,,
136,Faure,Impromptu No. 3,27,276,1,EF,,,,,,,
137,Tchaikovsky,Carnival Op. 37a No. 2,26,325,1,EF,,,,,,,
138,Ravel,"Sonatine, 1st mov.",12,281,1,HI,,,,,,,
139,Ravel,Jeux d'Eau,7,338,1,HI,,,,,,,
140,Scarlatti,Sonata in A major K 208,8,119,2,HI,YS,,,,,,
141,Saint-Saens,Bagatelle Op. 3 No. 4,19,254,1,HI,,,,,,,
142,Satie,Je te Veux,37,262,2,HI,YS,,,,,,
143,Satie,Gymnopedie No. 1,12,58,1,YS,,,,,,,
144,Scriabin,"Piano Sonata No. 2, 1st mov.",8,125,1,EF,,,,,,,
145,Scriabin,Piano Sonata No. 5,21,385,1,EF,,,,,,,
146,Schubert,"Piano Sonata D 845, 1st mov.",25,452,1,HI,,,,,,,
147,Bartok,Romanian Dance No. 1,32,248,1,HI,,,,,,,
148,Albeniz,Suite Espanola Op.45 No. 1,15,126,1,EF,,,,,,,
149,Chopin,Polonaise Op. 53,16,349,1,EF,,,,,,,
150,Chopin,Polonaise Fantasie Op. 61,10,309,1,EF,,,,,,,